Lat,Lng,Temperature,Cloudiness,Country,Date,Humidity,Temperature Max,Wind Speed,City Number,City Name
-54.8,-68.3,57.2,40,AR,1614903596,44,57.2,10.36,3833367,Ushuaia
-42.8794,147.3294,55.38,75,AU,1614903707,54,55.99,17.27,2163355,Hobart
-13.6833,48.45,76.26,98,MG,1614903873,84,76.26,1.54,1083724,Ambanja
10.9333,108.1,72.7,0,VN,1614903610,65,72.7,7.61,1571058,Phan Thiet
69.4541,-133.0374,-13.0,20,CA,1614903642,70,-13.0,14.97,6170031,Tuktoyaktuk
-39.0333,-67.5833,71.6,0,AR,1614903876,83,71.6,3.44,3855065,General Roca
-33.0153,27.9116,71.01,72,ZA,1614903876,83,71.01,13.33,1006984,East London
-18.9181,-54.8442,70.41,48,BR,1614903877,89,70.41,3.94,3451051,Rio Verde de Mato Grosso
51.226,-58.6502,23.29,100,CA,1614903878,97,23.29,14.07,6137462,Saint-Augustin
9.5217,-6.4869,80.8,39,CI,1614903880,41,80.8,5.93,2290836,Boundiali
10.5669,72.642,82.81,16,IN,1614903880,54,82.81,4.05,1267390,Kavaratti
31.3667,-106.0167,66.13,75,MX,1614903882,11,66.2,20.71,3974771,Praxédis Guerrero
-34.4187,19.2345,57.0,45,ZA,1614903652,93,57.0,8.52,3366880,Hermanus
-33.9258,18.4232,65.75,0,ZA,1614903658,63,68.0,17.27,3369157,Cape Town
3.0707,172.7902,81.88,95,KI,1614903806,77,81.88,20.2,2110227,Butaritari
45.8351,-66.4792,19.0,90,CA,1614903883,63,19.4,13.8,6094407,Oromocto
69.2167,-51.1,21.2,86,GL,1614903649,79,21.2,8.05,3423146,Ilulissat
11.1833,40.0167,62.26,0,ET,1614903885,48,62.26,1.74,342641,Batī
78.2186,15.6401,5.0,75,SJ,1614903821,66,5.0,16.11,2729907,Longyearbyen
14.9215,-23.5087,68.0,20,CV,1614903888,77,68.0,20.71,3374333,Praia
42.097,-79.2353,22.26,20,US,1614903468,91,24.01,11.3,5122534,Jamestown
70.6333,147.9167,-9.58,100,RU,1614903823,90,-9.58,22.73,2126123,Chokurdakh
-2.8731,-67.8022,73.2,98,BR,1614903890,96,73.2,2.39,3661894,Tonantins
-23.1203,-134.9692,81.81,66,PF,1614903650,74,81.81,6.49,4030556,Rikitea
29.9697,40.2064,48.2,0,SA,1614903890,61,48.2,13.8,102527,Sakakah
43.2128,-75.4557,21.85,90,US,1614903695,53,23.0,9.22,5134295,Rome
-20.2078,57.7625,74.57,40,MU,1614903810,83,75.2,5.75,1106643,Quatre Cocos
-33.65,115.3333,68.23,82,AU,1614903646,98,69.01,9.98,2075265,Busselton
59.7035,30.7861,21.61,0,RU,1614903700,80,23.0,13.42,546105,Nikolskoye
-2.2311,-45.3,74.19,98,BR,1614903892,96,74.19,1.83,3389622,Santa Helena
-37.6167,-73.65,59.68,0,CL,1614903651,82,59.68,16.75,3883457,Lebu
57.787,43.1903,6.78,1,RU,1614903894,95,6.78,3.83,554502,Kadyy
-17.7125,-39.2481,75.02,15,BR,1614903897,82,75.02,4.76,3466980,Caravelas
-3.8004,102.2655,76.86,94,ID,1614903898,82,76.86,4.41,1649150,Bengkulu
-5.1989,-35.4608,78.8,20,BR,1614903901,83,78.8,5.75,3386213,Touros
-10.6167,150.6667,85.21,99,PG,1614903707,65,85.21,11.65,2132606,Samarai
41.5388,-8.6151,53.2,75,PT,1614903903,94,53.6,5.75,2742416,Barcelos
-20.4081,57.7,75.2,40,MU,1614903905,83,75.2,5.75,934322,Mahébourg
5.4112,100.3354,78.93,20,MY,1614903698,88,80.6,5.68,1735106,George Town
-7.9408,-34.8731,78.8,40,BR,1614903908,73,78.8,14.97,3392740,Paulista
63.7506,-68.5145,19.4,90,CA,1614903909,53,19.4,14.97,5983720,Iqaluit
66.3167,-179.1667,0.68,100,RU,1614903911,96,0.68,8.66,4031742,Egvekinot
35.1333,140.3,53.58,75,JP,1614903914,71,55.0,8.05,2112309,Katsuura
61.67,96.37,-1.1,100,RU,1614903804,89,-1.1,3.02,1510689,Baykit
19.7297,-155.09,73.63,1,US,1614903631,53,78.8,9.22,5855927,Hilo
